Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"2","machine-learning","11031","4909","4908","",""
"46","python","6539","5523","5522","",""
"194","deep-learning","4770","8956","8955","",""
"81","neural-network","4273","8885","8884","",""
"77","classification","3170","4911","4910","",""
"324","keras","2727","9251","9250","",""
"47","nlp","2549","147","146","",""
"128","scikit-learn","2254","5896","5895","",""
"321","tensorflow","2182","9183","9182","",""
"72","time-series","1810","8904","8903","",""
"157","regression","1544","8906","8905","",""
"24","r","1484","49","48","",""
"61","dataset","1432","8889","8888","",""
"557","cnn","1370","28890","28889","",""
"15","clustering","1357","145","144","",""